ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,index_code,status,invest_type,type,trustee,purc_startdate,redm_startdate,market,etf_type,mgmt_fee,custody_fee,scale,avg_daily_volume,fee_score,liquidity_score,scale_score,tracking_error_score,info_ratio_score,comprehensive_score
150036.SZ,建信稳健(退市),建信基金,招商银行,股票型,20110506.0,20200506.0,20110608.0,20110401.0,20200506.0,0.3734,1.5,0.25,,1.0,0.1,,沪深300指数收益率*95%+商业银行活期存款利率*5%,D,股票型,契约型封闭式,,20110608.0,,E,规模风格,0.005,0.001,484.98501622883515,26.46365452306965,0.4878048780487805,1.0,0.30728081991960887,0.5,0.5,0.556578115203434
150037.SZ,建信进取(退市),建信基金,招商银行,股票型,20110506.0,20200506.0,20110608.0,20110401.0,20200506.0,0.5602,1.5,0.25,,1.0,0.1,,沪深300指数收益率*95%+商业银行活期存款利率*5%,D,股票型,契约型封闭式,,20110608.0,,E,规模风格,0.005,0.001,416.38887775941043,22.72064298801849,0.4878048780487805,0.8780487804878049,0.3223526362941888,0.5,0.5,0.535202234575911
150038.SZ,万家利B(退市),万家基金,中国邮政储蓄银行,债券型,20110602.0,20140530.0,20110829.0,20110516.0,20140603.0,7.7327,0.4,0.15,3.0,1.0,0.1,,中国债券总指数,D,债券型,契约型封闭式,,20110829.0,,E,规模风格,0.005,0.001,106.9572162284598,5.836219108434654,0.4878048780487805,0.34146341463414637,0.5714581664696515,0.5,0.5,0.4777062674402718
150047.SZ,消费A(退市),银华基金,中国建设银行,混合型,20110928.0,20191226.0,20111021.0,20110905.0,20191226.0,0.1903,2.0,0.35,,1.0,0.1,,中证内地消费主题指数收益率*80%+中国债券总指数收益率*20%,D,混合型,契约型封闭式,,20111021.0,,E,规模风格,0.005,0.001,91.73065863634321,5.005367955904885,0.4878048780487805,0.2682926829268293,0.625831763741652,0.5,0.5,0.47394684055320846
150048.SZ,消费B(退市),银华基金,中国建设银行,混合型,20110928.0,20191226.0,20111021.0,20110905.0,20191226.0,0.761,2.0,0.35,,1.0,0.1,,中证内地消费主题指数收益率*80%+中国债券总指数收益率*20%,D,混合型,契约型封闭式,,20111021.0,,E,规模风格,0.005,0.001,92.51885041686347,5.048376367050868,0.4878048780487805,0.2926829268292683,0.6225342228778773,0.5,0.5,0.4781653811609413
150051.SZ,沪深300A(退市),中信保诚基金,中国建设银行,股票型,20120201.0,20201231.0,20120217.0,20111221.0,20210104.0,0.8334,1.0,0.22,,1.0,0.1,,沪深300指数收益率*95%+金融同业存款利率*5%,D,被动指数型,契约型封闭式,,20120217.0,,E,规模风格,0.005,0.001,152.8168792368093,8.338593898967826,0.4878048780487805,0.4146341463414634,0.4752993654101543,0.5,0.5,0.4731086535698357
150052.SZ,沪深300B(退市),中信保诚基金,中国建设银行,股票型,20120201.0,20201231.0,20120217.0,20111221.0,20210104.0,0.8334,1.0,0.22,,1.0,0.1,,沪深300指数收益率*95%+金融同业存款利率*5%,D,被动指数型,契约型封闭式,,20120217.0,,E,规模风格,0.005,0.001,262.85345938448665,14.34284133855102,0.4878048780487805,0.6097560975609756,0.3782765981003439,0.5,0.5,0.49272849035177607
150057.SZ,中小300A(退市),长城基金,中国建设银行,股票型,20120130.0,20180812.0,20120221.0,20111219.0,20180806.0,0.1846,1.0,0.22,,1.0,0.1,,中小板300(价格)指数收益率*95%+活期存款利率(税后)*5%,D,被动指数型,契约型封闭式,,20120221.0,,E,规模风格,0.005,0.001,216.54056430241576,11.815735522076054,0.4878048780487805,0.5121951219512195,0.4080700416293579,0.5,0.5,0.4791749839356277
150058.SZ,中小300B(退市),长城基金,中国建设银行,股票型,20120130.0,20180812.0,20120221.0,20111219.0,20180806.0,0.2769,1.0,0.22,,1.0,0.1,,中小板300(价格)指数收益率*95%+活期存款利率(税后)*5%,D,被动指数型,契约型封闭式,,20120221.0,,E,规模风格,0.005,0.001,146.3233409588229,7.984267996371531,0.4878048780487805,0.36585365853658536,0.48524747312180344,0.5,0.5,0.46534217755118995
150061.SZ,丰泽B(退市),鹏华基金,中国邮政储蓄银行,债券型,20111208.0,20141205.0,20111226.0,20111102.0,20141208.0,9.0009,0.7,0.2,3.0,1.0,0.1,,中债总指数收益率,D,债券型,契约型封闭式,,20111226.0,,E,规模风格,0.005,0.001,306.3145944664674,16.714338241554966,0.4878048780487805,0.7317073170731707,0.35764786514382224,0.5,0.5,0.5129929876629108
150064.SZ,同瑞A(退市),长盛基金,中国农业银行,股票型,20111206.0,20200818.0,20120112.0,20111107.0,20200826.0,6.232,0.75,0.15,,1.0,0.1,,中证200指数收益率*95%+一年期银行定期存款利率(税后)*5%,D,被动指数型,契约型封闭式,,20120112.0,,E,规模风格,0.005,0.001,70.60743646536888,3.852759864435616,0.4878048780487805,0.17073170731707318,0.7466178414690322,0.5,0.5,0.47859186097673323
150065.SZ,同瑞B(退市),长盛基金,中国农业银行,股票型,20111206.0,20200818.0,20120112.0,20111107.0,20200826.0,6.232,0.75,0.15,,1.0,0.1,,中证200指数收益率*95%+一年期银行定期存款利率(税后)*5%,D,被动指数型,契约型封闭式,,20120112.0,,E,规模风格,0.005,0.001,146.78017961907386,8.00919581903226,0.4878048780487805,0.3902439024390244,0.4845195368214851,0.5,0.5,0.47007463907161406
150068.SZ,双翼B(退市),诺德基金,华夏银行,债券型,20120216.0,20150213.0,20120423.0,20120109.0,20150216.0,1.3458,0.7,0.2,3.0,1.0,0.1,,中国债券总指数,D,债券型,契约型封闭式,,20120423.0,,E,规模风格,0.005,0.001,183.81455980355216,10.030010916164285,0.4878048780487805,0.4634146341463415,0.4371532508237191,0.5,0.5,0.4752355282135243
150076.SZ,浙商稳健(退市),浙商基金,华夏银行,股票型,20120507.0,20180819.0,20120713.0,20120328.0,20180813.0,0.0914,1.0,0.22,,1.0,5.0,,沪深300指数收益率*95%+金融同业存款利率*5%,D,被动指数型,契约型封闭式,,20120713.0,,E,规模风格,0.005,0.001,228.57892212430093,12.472619614909851,0.4878048780487805,0.5609756097560976,0.39929385282819335,0.5,0.5,0.4871758437363704
150077.SZ,浙商进取(退市),浙商基金,华夏银行,股票型,20120507.0,20180819.0,20120713.0,20120328.0,20180813.0,0.0914,1.0,0.22,,1.0,5.0,,沪深300指数收益率*95%+金融同业存款利率*5%,D,被动指数型,契约型封闭式,,20120713.0,,E,规模风格,0.005,0.001,392.8028047351138,21.433647169210825,0.4878048780487805,0.8292682926829268,0.3285124508211562,0.5,0.5,0.5266780999203288
150082.SZ,信达利B(退市),信达澳亚基金,中国建设银行,债券型,20120507.0,20150506.0,20120716.0,20120416.0,20150507.0,0.9124,0.7,0.2,3.0,1.0,0.1,,中国债券总指数,D,债券型,契约型封闭式,,20120716.0,,E,规模风格,0.005,0.001,100.63721729702151,5.491362540270418,0.4878048780487805,0.3170731707317073,0.5918616137494866,0.5,0.5,0.476908908115751
150129.SZ,丰利债B(退市),鹏华基金,招商银行,债券型,20130423.0,20160424.0,20130719.0,20130325.0,20160425.0,8.9985,0.7,0.2,,1.0,5.0,,中债总指数收益率,D,债券型,契约型封闭式,,20130719.0,,E,规模风格,0.005,0.001,257.6029847683922,14.0563443506587,0.4878048780487805,0.5853658536585366,0.38117478728172727,0.5,0.5,0.48843007940756494
160212.SZ,国泰估值LOF,国泰基金,中国工商银行,混合型,20130219.0,,20130227.0,20130219.0,,8.4311,1.2,0.2,,1.0,,,沪深300指数收益率*80%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20130227.0,20130227.0,E,规模风格,0.005,0.001,296.6148698621592,16.18506382624764,0.4878048780487805,0.6341463414634146,0.3617978209226841,0.5,0.5,0.4943107836967319
160512.SZ,博时卓越LOF,博时基金,中国工商银行,混合型,20110422.0,,20110630.0,20110504.0,,7.7615,1.2,0.2,,1.0,0.1,,沪深300指数收益率*80%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20110630.0,20110630.0,E,规模风格,0.005,0.001,24.178755947278866,1.3193361089005131,0.4878048780487805,0.04878048780487805,0.5862266018696987,0.5,0.5,0.42212336915442755
160615.SZ,鹏华300LOF,鹏华基金,中国工商银行,股票型,20090403.0,,20090508.0,20090302.0,,19.9443,0.15,0.05,,1.0,0.1,,沪深300指数收益率*95%+银行同业存款利率*5%,L,被动指数型,契约型开放式,,20090508.0,20090508.0,E,规模风格,0.005,0.001,304.1648810988177,16.59703714980688,0.4878048780487805,0.7073170731707317,0.35854803357502063,0.5,0.5,0.5082949725686626
160618.SZ,鹏华丰泽LOF,鹏华基金,中国邮政储蓄银行,债券型,20141208.0,,20141225.0,20141208.0,,14.1564,0.5,0.1,,1.0,,,中债总指数收益率,L,债券型,契约型开放式,,20150106.0,20150106.0,E,规模风格,0.005,0.001,86.09153771995847,4.697664124340307,0.4878048780487805,0.24390243902439024,0.6514088939772449,0.5,0.5,0.4741842178198392
160622.SZ,鹏华丰利LOF,鹏华基金,招商银行,债券型,20160425.0,,20160524.0,20160425.0,,10.7767,0.3,0.1,,1.0,,,中债总指数收益率,L,债券型,契约型开放式,,20160512.0,20160512.0,E,规模风格,0.005,0.001,33.46074489965448,1.8258163932454563,0.4878048780487805,0.0975609756097561,0.7183883348790373,0.5,0.5,0.4583118133172709
160641.SZ,鹏华丰锐LOF,鹏华基金,浦发银行,债券型,20250708.0,,20150930.0,20250708.0,,,0.7,0.1,,1.0,,,中债总指数收益率,L,债券型,契约型开放式,,20250709.0,20250709.0,E,规模风格,0.005,0.001,474.4938830894133,25.891196171436395,0.4878048780487805,0.926829268292683,0.3093553654892179,0.5,0.5,0.5423588779758923
161908.SZ,万家添利LOF,万家基金,中国邮政储蓄银行,债券型,20140603.0,,20140616.0,20140603.0,,12.0617,0.4,0.15,,1.0,,,中国债券总指数,L,债券型,契约型开放式,,20140606.0,20140606.0,E,规模风格,0.005,0.001,482.8503845042051,26.34717637507685,0.4878048780487805,0.975609756097561,0.30769703171477375,0.5,0.5,0.5517833087819792
162215.SZ,宏利聚利债券LOF,宏利基金,中国银行,债券型,20160513.0,,20160525.0,20160513.0,,24.0694,0.3,0.1,,1.0,,,中债企业债总全价指数收益率*90%+中债国债总全价指数收益率*10%,L,债券型,契约型开放式,,20160525.0,20160525.0,E,规模风格,0.005,0.001,404.3902767101141,22.06592826013317,0.4878048780487805,0.8536585365853658,0.325412297255141,0.5,0.5,0.5309361179876135
164206.SZ,天弘添利LOF,天弘基金,中国工商银行,债券型,20151203.0,,20151215.0,20151203.0,,15.6537,0.35,0.1,,1.0,,,中国债券总指数,L,债券型,契约型开放式,,20151215.0,20151215.0,E,规模风格,0.005,0.001,153.00227081751197,8.348709961483221,0.4878048780487805,0.43902439024390244,0.4750274021002397,0.5,0.5,0.47793230968834066
165511.SZ,中信保诚500LOF,中信保诚基金,中国建设银行,股票型,20110211.0,,20210203.0,20110106.0,,3.4892,1.0,0.2,,1.0,0.1,,中证500指数收益率*95%+金融同业存款利率*5%,L,被动指数型,契约型开放式,,20110314.0,20110314.0,E,规模风格,0.005,0.001,49.738384889185554,2.7140208257935354,0.4878048780487805,0.12195121951219512,0.9948834040179542,0.5,0.5,0.518488875925542
165515.SZ,中信保诚300LOF,中信保诚基金,中国建设银行,股票型,20120201.0,,20210203.0,20111221.0,,2.2364,1.0,0.2,,1.0,0.1,,沪深300指数收益率*95%+金融同业存款利率*5%,L,被动指数型,契约型开放式,,20120217.0,20120217.0,E,规模风格,0.005,0.001,342.4322802295663,18.685133062474655,0.4878048780487805,0.7560975609756098,0.34397780527063737,0.5,0.5,0.5151370244687616
165705.SZ,诺德双翼(退市),诺德基金,华夏银行,债券型,20150216.0,20180725.0,20150320.0,20150216.0,20180726.0,2.1857,0.7,0.2,,1.0,,,中国债券总指数,D,债券型,契约型开放式,,20150309.0,20150309.0,E,规模风格,0.005,0.001,220.63609437606104,12.039211896254697,0.4878048780487805,0.5365853658536586,0.40498763499623913,0.5,0.5,0.48343655138949176
166008.SZ,中欧强债LOF,中欧基金,广发银行,债券型,20101202.0,,20110218.0,20101101.0,,23.7429,0.3,0.08,,1.0,0.1,,中国债券总指数,L,债券型,契约型开放式,,20111202.0,20111202.0,E,规模风格,0.005,0.001,61.897079187544634,3.3774711894055334,0.4878048780487805,0.14634146341463414,0.8266689390824176,0.5,0.5,0.48972403171892254
