period,buy_amount,repay_amount,balance,buy_amount_yoy,indicator_name
2021-07-12/2021-07-18,555110020440.0,558594536488.0,775716778071.0,0.66954097255737,margin_borrow_amount_W_yoy
2021-07-19/2021-07-25,539455699310.0,521154453249.0,881396553942.0,0.5201634319950921,margin_borrow_amount_W_yoy
2021-07-26/2021-08-01,575765574661.0,593116625539.0,875692505732.0,2.6726930772753383,margin_borrow_amount_W_yoy
2021-08-02/2021-08-08,601236998836.0,578738019463.0,884172429529.0,0.6500355150386297,margin_borrow_amount_W_yoy
2021-08-09/2021-08-15,561721365759.0,544716116090.0,798615815454.0,0.4829590713045988,margin_borrow_amount_W_yoy
2021-08-16/2021-08-22,507167993416.0,517633937437.0,797157826588.0,0.16337518525959793,margin_borrow_amount_W_yoy
2021-08-23/2021-08-29,583701271456.0,561559667142.0,894912847257.0,0.31573411454836475,margin_borrow_amount_W_yoy
2021-08-30/2021-09-05,680198776562.0,676618518591.0,803628016839.0,0.5926993996434369,margin_borrow_amount_W_yoy
2021-09-06/2021-09-12,663626331302.0,626248835281.0,923583113669.0,1.038453108811447,margin_borrow_amount_W_yoy
2021-09-13/2021-09-19,597912418598.0,609861718484.0,811317363674.0,0.3280986884990744,margin_borrow_amount_W_yoy
2021-09-20/2021-09-26,303419667347.0,300955009793.0,921279018246.0,-0.3238083539859541,margin_borrow_amount_W_yoy
2021-09-27/2021-10-03,321174792542.0,367431036141.0,789086368159.0,-0.33698478388951336,margin_borrow_amount_W_yoy
2021-10-04/2021-10-10,84485066537.0,73621752042.0,794739793852.0,-0.8478048253028577,margin_borrow_amount_W_yoy
2021-10-11/2021-10-17,348335387920.0,354991451172.0,895814114221.0,-0.3542836077817988,margin_borrow_amount_W_yoy
2021-10-18/2021-10-24,379768866956.0,371221751562.0,795536548877.0,-0.34041060516756183,margin_borrow_amount_W_yoy
2021-10-25/2021-10-31,406783768540.0,409082178010.0,903863548830.0,-0.3234219295759627,margin_borrow_amount_W_yoy
2021-11-01/2021-11-07,414633260796.0,424120656977.0,895795759951.0,-0.26185243063392116,margin_borrow_amount_W_yoy
