date,industry,week_end,signal,signal_type
2020-11-09,电力设备,2020-11-13,1,long
2020-11-09,银行,2020-11-13,1,long
2020-11-09,非银金融,2020-11-13,1,long
2020-11-23,钢铁,2020-11-27,1,long
2020-11-30,煤炭,2020-12-04,1,long
2020-12-07,汽车,2020-12-11,1,long
2020-12-14,交通运输,2020-12-18,1,long
2020-12-28,煤炭,2021-01-01,1,long
2021-01-04,传媒,2021-01-08,1,long
2021-01-11,计算机,2021-01-15,1,long
2021-01-11,食品饮料,2021-01-15,1,long
2021-02-08,基础化工,2021-02-12,1,long
2021-02-08,电力设备,2021-02-12,1,long
2021-02-15,传媒,2021-02-19,1,long
2021-03-01,农林牧渔,2021-03-05,1,long
2021-03-08,电力设备,2021-03-12,1,long
2021-03-15,国防军工,2021-03-19,1,long
2021-03-15,非银金融,2021-03-19,1,long
2021-04-05,家用电器,2021-04-09,1,long
2021-04-05,有色金属,2021-04-09,1,long
2021-04-26,家用电器,2021-04-30,1,long
2021-04-26,有色金属,2021-04-30,1,long
2021-04-26,食品饮料,2021-04-30,1,long
2021-05-03,煤炭,2021-05-07,1,long
2021-05-10,通信,2021-05-14,1,long
2021-05-17,家用电器,2021-05-21,1,long
2021-05-24,医药生物,2021-05-28,1,long
2021-06-07,通信,2021-06-11,1,long
2021-06-14,通信,2021-06-18,1,long
2021-06-21,传媒,2021-06-25,1,long
2021-06-21,煤炭,2021-06-25,1,long
2021-06-21,电子,2021-06-25,1,long
2021-06-28,有色金属,2021-07-02,1,long
2021-07-05,公用事业,2021-07-09,1,long
2021-07-12,有色金属,2021-07-16,1,long
2021-07-19,农林牧渔,2021-07-23,1,long
2021-07-26,基础化工,2021-07-30,1,long
2021-08-02,房地产,2021-08-06,1,long
2021-08-09,钢铁,2021-08-13,1,long
2021-08-16,银行,2021-08-20,1,long
2021-08-23,农林牧渔,2021-08-27,1,long
2021-08-23,银行,2021-08-27,1,long
2021-08-30,公用事业,2021-09-03,1,long
2021-08-30,医药生物,2021-09-03,1,long
2021-08-30,家用电器,2021-09-03,1,long
2021-09-06,电子,2021-09-10,1,long
2021-09-06,非银金融,2021-09-10,1,long
2021-09-13,国防军工,2021-09-17,1,long
2021-09-20,非银金融,2021-09-24,1,long
2021-09-27,农林牧渔,2021-10-01,1,long
2021-09-27,家用电器,2021-10-01,1,long
2021-10-11,通信,2021-10-15,1,long
2021-10-18,家用电器,2021-10-22,1,long
2021-10-18,电力设备,2021-10-22,1,long
2021-10-18,电子,2021-10-22,1,long
2021-10-18,钢铁,2021-10-22,1,long
2021-10-25,传媒,2021-10-29,1,long
2021-10-25,医药生物,2021-10-29,1,long
2021-10-25,钢铁,2021-10-29,1,long
2021-11-01,传媒,2021-11-05,1,long
2021-11-15,医药生物,2021-11-19,1,long
2021-11-15,煤炭,2021-11-19,1,long
2021-11-15,电子,2021-11-19,1,long
2021-11-22,汽车,2021-11-26,1,long
2021-11-22,电子,2021-11-26,1,long
2021-11-22,钢铁,2021-11-26,1,long
2021-12-06,钢铁,2021-12-10,1,long
2021-12-13,传媒,2021-12-17,1,long
2021-12-13,电力设备,2021-12-17,1,long
2021-12-20,非银金融,2021-12-24,1,long
2021-12-27,有色金属,2021-12-31,1,long
2022-01-03,国防军工,2022-01-07,1,long
2022-01-03,电子,2022-01-07,1,long
2022-01-10,交通运输,2022-01-14,1,long
2022-01-17,家用电器,2022-01-21,1,long
2022-01-17,煤炭,2022-01-21,1,long
2022-01-17,钢铁,2022-01-21,1,long
2022-01-31,医药生物,2022-02-04,1,long
2022-02-07,农林牧渔,2022-02-11,1,long
2022-02-14,房地产,2022-02-18,1,long
2022-02-21,医药生物,2022-02-25,1,long
2022-02-21,计算机,2022-02-25,1,long
2022-02-28,房地产,2022-03-04,1,long
2022-03-07,传媒,2022-03-11,1,long
2022-03-07,通信,2022-03-11,1,long
2022-03-14,公用事业,2022-03-18,1,long
2022-03-14,通信,2022-03-18,1,long
2022-03-21,公用事业,2022-03-25,1,long
2022-04-11,计算机,2022-04-15,1,long
2022-04-18,交通运输,2022-04-22,1,long
2022-04-18,公用事业,2022-04-22,1,long
2022-04-18,房地产,2022-04-22,1,long
2022-04-25,煤炭,2022-04-29,1,long
2022-04-25,电力设备,2022-04-29,1,long
2022-05-02,传媒,2022-05-06,1,long
2022-05-02,电力设备,2022-05-06,1,long
2022-05-09,有色金属,2022-05-13,1,long
2022-05-23,农林牧渔,2022-05-27,1,long
2022-06-06,医药生物,2022-06-10,1,long
2022-06-06,建筑材料,2022-06-10,1,long
2022-06-06,银行,2022-06-10,1,long
2022-06-13,计算机,2022-06-17,1,long
2022-06-20,计算机,2022-06-24,1,long
2022-06-27,基础化工,2022-07-01,1,long
2022-06-27,通信,2022-07-01,1,long
2022-07-04,食品饮料,2022-07-08,1,long
2022-07-25,房地产,2022-07-29,1,long
2022-08-01,房地产,2022-08-05,1,long
2022-08-08,基础化工,2022-08-12,1,long
2022-08-08,食品饮料,2022-08-12,1,long
2022-08-15,银行,2022-08-19,1,long
2022-08-22,家用电器,2022-08-26,1,long
2022-08-22,煤炭,2022-08-26,1,long
2022-08-29,交通运输,2022-09-02,1,long
2022-08-29,通信,2022-09-02,1,long
2022-08-29,钢铁,2022-09-02,1,long
2022-09-05,非银金融,2022-09-09,1,long
2022-09-12,交通运输,2022-09-16,1,long
2022-09-12,汽车,2022-09-16,1,long
2022-09-12,煤炭,2022-09-16,1,long
2022-09-19,钢铁,2022-09-23,1,long
2022-09-26,交通运输,2022-09-30,1,long
2022-10-03,交通运输,2022-10-07,1,long
2022-10-10,建筑材料,2022-10-14,1,long
2022-10-31,公用事业,2022-11-04,1,long
2022-11-07,农林牧渔,2022-11-11,1,long
2022-11-14,食品饮料,2022-11-18,1,long
2022-11-21,建筑材料,2022-11-25,1,long
2022-11-21,银行,2022-11-25,1,long
2022-11-28,交通运输,2022-12-02,1,long
2022-12-19,国防军工,2022-12-23,1,long
2022-12-19,通信,2022-12-23,1,long
2022-12-26,公用事业,2022-12-30,1,long
2022-12-26,汽车,2022-12-30,1,long
2022-12-26,计算机,2022-12-30,1,long
2023-01-02,公用事业,2023-01-06,1,long
2023-01-02,非银金融,2023-01-06,1,long
2023-01-09,食品饮料,2023-01-13,1,long
2023-01-16,公用事业,2023-01-20,1,long
2023-01-16,医药生物,2023-01-20,1,long
2023-01-30,农林牧渔,2023-02-03,1,long
2023-02-06,家用电器,2023-02-10,1,long
2023-02-06,建筑材料,2023-02-10,1,long
2023-02-20,有色金属,2023-02-24,1,long
2023-02-20,计算机,2023-02-24,1,long
2023-03-06,国防军工,2023-03-10,1,long
2023-03-06,房地产,2023-03-10,1,long
2023-03-06,电子,2023-03-10,1,long
2023-03-20,国防军工,2023-03-24,1,long
2023-03-20,银行,2023-03-24,1,long
2023-03-27,家用电器,2023-03-31,1,long
2023-03-27,房地产,2023-03-31,1,long
2023-04-10,电子,2023-04-14,1,long
2023-04-10,食品饮料,2023-04-14,1,long
2023-04-17,家用电器,2023-04-21,1,long
2023-04-17,非银金融,2023-04-21,1,long
2023-05-15,传媒,2023-05-19,1,long
2023-05-22,医药生物,2023-05-26,1,long
2023-05-22,通信,2023-05-26,1,long
2023-05-22,非银金融,2023-05-26,1,long
2023-05-29,汽车,2023-06-02,1,long
2023-06-05,交通运输,2023-06-09,1,long
2023-06-12,房地产,2023-06-16,1,long
2023-06-12,有色金属,2023-06-16,1,long
2023-06-19,汽车,2023-06-23,1,long
2023-06-26,农林牧渔,2023-06-30,1,long
2023-06-26,基础化工,2023-06-30,1,long
2023-06-26,食品饮料,2023-06-30,1,long
2023-07-03,国防军工,2023-07-07,1,long
2023-07-03,基础化工,2023-07-07,1,long
2023-07-03,钢铁,2023-07-07,1,long
2023-07-10,医药生物,2023-07-14,1,long
2023-07-17,食品饮料,2023-07-21,1,long
2023-07-24,银行,2023-07-28,1,long
2023-07-31,家用电器,2023-08-04,1,long
2023-07-31,银行,2023-08-04,1,long
2023-08-14,国防军工,2023-08-18,1,long
2023-08-14,银行,2023-08-18,1,long
2023-08-21,公用事业,2023-08-25,1,long
2023-08-21,计算机,2023-08-25,1,long
2023-09-11,电力设备,2023-09-15,1,long
2023-09-11,电子,2023-09-15,1,long
2023-09-18,公用事业,2023-09-22,1,long
2023-09-18,银行,2023-09-22,1,long
2023-09-25,通信,2023-09-29,1,long
2023-10-09,医药生物,2023-10-13,1,long
2023-10-09,有色金属,2023-10-13,1,long
2023-10-09,计算机,2023-10-13,1,long
2023-10-23,医药生物,2023-10-27,1,long
2023-10-30,电力设备,2023-11-03,1,long
2023-10-30,银行,2023-11-03,1,long
2023-11-13,通信,2023-11-17,1,long
2023-12-04,传媒,2023-12-08,1,long
2023-12-04,建筑材料,2023-12-08,1,long
2023-12-04,电子,2023-12-08,1,long
2023-12-11,电力设备,2023-12-15,1,long
2023-12-11,食品饮料,2023-12-15,1,long
2023-12-18,国防军工,2023-12-22,1,long
2023-12-25,国防军工,2023-12-29,1,long
2023-12-25,建筑材料,2023-12-29,1,long
2024-01-01,传媒,2024-01-05,1,long
2024-01-01,农林牧渔,2024-01-05,1,long
2024-01-01,煤炭,2024-01-05,1,long
2024-01-01,非银金融,2024-01-05,1,long
2024-01-15,公用事业,2024-01-19,1,long
2024-01-15,煤炭,2024-01-19,1,long
2024-01-22,传媒,2024-01-26,1,long
2024-01-22,电子,2024-01-26,1,long
2024-01-22,非银金融,2024-01-26,1,long
2024-01-29,传媒,2024-02-02,1,long
2024-02-05,医药生物,2024-02-09,1,long
2024-02-12,国防军工,2024-02-16,1,long
2024-02-19,医药生物,2024-02-23,1,long
2024-02-19,家用电器,2024-02-23,1,long
2024-02-19,电子,2024-02-23,1,long
2024-03-04,建筑材料,2024-03-08,1,long
2024-03-11,基础化工,2024-03-15,1,long
2024-03-11,电力设备,2024-03-15,1,long
2024-03-18,基础化工,2024-03-22,1,long
2024-03-25,有色金属,2024-03-29,1,long
2024-03-25,电子,2024-03-29,1,long
2024-03-25,非银金融,2024-03-29,1,long
2024-04-01,汽车,2024-04-05,1,long
2024-04-01,电子,2024-04-05,1,long
2024-04-08,建筑材料,2024-04-12,1,long
2024-04-15,公用事业,2024-04-19,1,long
2024-04-15,电子,2024-04-19,1,long
2024-04-29,计算机,2024-05-03,1,long
2024-05-06,交通运输,2024-05-10,1,long
2024-05-06,公用事业,2024-05-10,1,long
2024-05-06,家用电器,2024-05-10,1,long
2024-05-13,农林牧渔,2024-05-17,1,long
2024-05-13,非银金融,2024-05-17,1,long
2024-05-20,传媒,2024-05-24,1,long
2024-05-20,通信,2024-05-24,1,long
2024-05-27,家用电器,2024-05-31,1,long
2024-06-10,交通运输,2024-06-14,1,long
2024-07-01,食品饮料,2024-07-05,1,long
2024-07-08,家用电器,2024-07-12,1,long
