week_start,net_flow,week_end,industry,year,week,rolling_percentile
2018-07-16,1632221.5278214924,2018-07-20,交通运输,2018,29,0.6428571428571429
2018-07-23,-2925601.432610657,2018-07-27,交通运输,2018,30,0.10344827586206896
2018-07-30,75289.21624553576,2018-08-03,交通运输,2018,31,0.5
2018-08-06,-1395293.1369347707,2018-08-10,交通运输,2018,32,0.22580645161290322
2018-08-13,3923075.770008538,2018-08-17,交通运输,2018,33,0.96875
2018-08-20,3401197.2764645754,2018-08-24,交通运输,2018,34,0.9090909090909091
2018-08-27,-2939071.028698438,2018-08-31,交通运输,2018,35,0.08823529411764706
2018-09-03,854615.7246808507,2018-09-07,交通运输,2018,36,0.5428571428571428
2018-09-10,-952661.1454872943,2018-09-14,交通运输,2018,37,0.3055555555555556
2018-09-17,610461.1267974682,2018-09-21,交通运输,2018,38,0.5405405405405406
2018-09-24,-1585764.3522916913,2018-09-28,交通运输,2018,39,0.21052631578947367
2018-10-01,-526340.4243654837,2018-10-05,交通运输,2018,40,0.3333333333333333
2018-10-08,-87395.21665239614,2018-10-12,交通运输,2018,41,0.475
2018-10-15,-1623879.9220122902,2018-10-19,交通运输,2018,42,0.1951219512195122
2018-10-22,2114266.3097883314,2018-10-26,交通运输,2018,43,0.7857142857142857
2018-10-29,-143778.0528859743,2018-11-02,交通运输,2018,44,0.4418604651162791
2018-11-05,805503.5750387777,2018-11-09,交通运输,2018,45,0.5909090909090909
2018-11-12,347001.97010427015,2018-11-16,交通运输,2018,46,0.5555555555555556
2018-11-19,-2551654.5968900365,2018-11-23,交通运输,2018,47,0.13043478260869565
2018-11-26,-551744.6942299427,2018-11-30,交通运输,2018,48,0.3191489361702128
2018-12-03,1498008.440676167,2018-12-07,交通运输,2018,49,0.7083333333333334
2018-12-10,5649651.305533181,2018-12-14,交通运输,2018,50,0.9795918367346939
2018-12-17,-1555136.6768064273,2018-12-21,交通运输,2018,51,0.22
2018-12-24,-2988785.9265562897,2018-12-28,交通运输,2018,52,0.058823529411764705
2018-12-31,2017995.7232616616,2019-01-04,交通运输,2018,1,0.7884615384615384
2019-01-07,-79518.3276293868,2019-01-11,交通运输,2019,2,0.49056603773584906
2019-01-14,2188059.526549716,2019-01-18,交通运输,2019,3,0.8148148148148148
2019-01-21,309944.5335407257,2019-01-25,交通运输,2019,4,0.5454545454545454
2019-01-28,3018833.0713239107,2019-02-01,交通运输,2019,5,0.8928571428571429
2019-02-04,-1735445.9369859085,2019-02-08,交通运输,2019,6,0.17543859649122806
2019-02-11,456475.531024694,2019-02-15,交通运输,2019,7,0.5689655172413793
2019-02-18,4223856.156193768,2019-02-22,交通运输,2019,8,0.9661016949152542
2019-02-25,2201582.0979065015,2019-03-01,交通运输,2019,9,0.8
2019-03-04,-1209571.472886611,2019-03-08,交通运输,2019,10,0.26229508196721313
2019-03-11,3476573.734222468,2019-03-15,交通运输,2019,11,0.9193548387096774
2019-03-18,-263845.58262721053,2019-03-22,交通运输,2019,12,0.38095238095238093
2019-03-25,2634608.4911966957,2019-03-29,交通运输,2019,13,0.84375
2019-04-01,-278703.3928094398,2019-04-05,交通运输,2019,14,0.36923076923076925
2019-04-08,1481479.7338141873,2019-04-12,交通运输,2019,15,0.6515151515151515
2019-04-15,625473.4973606053,2019-04-19,交通运输,2019,16,0.5671641791044776
2019-04-22,527979.5134608822,2019-04-26,交通运输,2019,17,0.5441176470588235
2019-04-29,-73860.91047185019,2019-05-03,交通运输,2019,18,0.4492753623188406
2019-05-06,-801344.6075551664,2019-05-10,交通运输,2019,19,0.2714285714285714
2019-05-13,-1881764.487070037,2019-05-17,交通运输,2019,20,0.14084507042253522
2019-05-20,3510346.0347244833,2019-05-24,交通运输,2019,21,0.9305555555555556
2019-05-27,-2598236.4142252756,2019-05-31,交通运输,2019,22,0.0821917808219178
2019-06-03,2506414.7976090955,2019-06-07,交通运输,2019,23,0.8108108108108109
2019-06-10,-1126348.6049391718,2019-06-14,交通运输,2019,24,0.25333333333333335
2019-06-17,-3643367.8927968033,2019-06-21,交通运输,2019,25,0.02631578947368421
2019-06-24,-3034195.9150880813,2019-06-28,交通运输,2019,26,0.05194805194805195
2019-07-01,-2606591.3577116085,2019-07-05,交通运输,2019,27,0.10256410256410256
2019-07-08,-1139605.5119410132,2019-07-12,交通运输,2019,28,0.27848101265822783
2019-07-15,1656562.4749583257,2019-07-19,交通运输,2019,29,0.7125
2019-07-22,2033307.5386957314,2019-07-26,交通运输,2019,30,0.7654320987654321
2019-07-29,1387596.9275528477,2019-08-02,交通运输,2019,31,0.6585365853658537
2019-08-05,-680111.9868886552,2019-08-09,交通运输,2019,32,0.3253012048192771
2019-08-12,-1232254.8204031168,2019-08-16,交通运输,2019,33,0.25
2019-08-19,599938.0981960045,2019-08-23,交通运输,2019,34,0.5764705882352941
2019-08-26,2183126.7887900807,2019-08-30,交通运输,2019,35,0.7906976744186046
2019-09-02,-652127.5126704351,2019-09-06,交通运输,2019,36,0.3333333333333333
2019-09-09,-557412.4875999929,2019-09-13,交通运输,2019,37,0.3409090909090909
2019-09-16,-42554.17444460571,2019-09-20,交通运输,2019,38,0.4943820224719101
2019-09-23,390345.44993228035,2019-09-27,交通运输,2019,39,0.5555555555555556
2019-09-30,-2183539.0691921376,2019-10-04,交通运输,2019,40,0.13186813186813187
2019-10-07,453386.6933209897,2019-10-11,交通运输,2019,41,0.5652173913043478
2019-10-14,4065835.008890065,2019-10-18,交通运输,2019,42,0.967741935483871
2019-10-21,-2746424.0088725667,2019-10-25,交通运输,2019,43,0.0851063829787234
2019-10-28,178274.24833020172,2019-11-01,交通运输,2019,44,0.5157894736842106
2019-11-04,741846.0449589035,2019-11-08,交通运输,2019,45,0.625
2019-11-11,-393054.57578718127,2019-11-15,交通运输,2019,46,0.36082474226804123
2019-11-18,896013.0883045965,2019-11-22,交通运输,2019,47,0.6530612244897959
2019-11-25,-5113887.038724575,2019-11-29,交通运输,2019,48,0.010101010101010102
2019-12-02,-1622924.13169759,2019-12-06,交通运输,2019,49,0.2
2019-12-09,2414517.48707106,2019-12-13,交通运输,2019,50,0.8316831683168316
2019-12-16,1273355.757928291,2019-12-20,交通运输,2019,51,0.6862745098039216
2019-12-23,-611732.8889533002,2019-12-27,交通运输,2019,52,0.3300970873786408
2019-12-30,-2807141.326788227,2020-01-03,交通运输,2019,1,0.08653846153846154
2020-01-06,1024679.5748104864,2020-01-10,交通运输,2020,2,0.6634615384615384
2020-01-13,654888.1948381783,2020-01-17,交通运输,2020,3,0.6153846153846154
2020-01-20,-55718.647699433146,2020-01-24,交通运输,2020,4,0.4807692307692308
2020-01-27,-5759992.079479809,2020-01-31,交通运输,2020,5,0.009615384615384616
2020-02-03,760968.3515125666,2020-02-07,交通运输,2020,6,0.6346153846153846
2020-02-10,-2502376.171424993,2020-02-14,交通运输,2020,7,0.14423076923076922
2020-02-17,-5439008.788793147,2020-02-21,交通运输,2020,8,0.019230769230769232
2020-02-24,-1191898.4811850516,2020-02-28,交通运输,2020,9,0.2692307692307692
2020-03-02,-1454377.0492582407,2020-03-06,交通运输,2020,10,0.2403846153846154
2020-03-09,-154532.8960471488,2020-03-13,交通运输,2020,11,0.4519230769230769
2020-03-16,3547574.921800771,2020-03-20,交通运输,2020,12,0.9423076923076923
2020-03-23,2234105.4861849565,2020-03-27,交通运输,2020,13,0.8461538461538461
2020-03-30,-1550538.5669528148,2020-04-03,交通运输,2020,14,0.23076923076923078
2020-04-06,-1000972.3554372023,2020-04-10,交通运输,2020,15,0.3173076923076923
2020-04-13,-2337489.6550018517,2020-04-17,交通运输,2020,16,0.14423076923076922
2020-04-20,241615.8876996599,2020-04-24,交通运输,2020,17,0.5480769230769231
2020-04-27,573358.0373646424,2020-05-01,交通运输,2020,18,0.6057692307692307
2020-05-04,4155853.9878957635,2020-05-08,交通运输,2020,19,0.9711538461538461
2020-05-11,-3798803.4771719924,2020-05-15,交通运输,2020,20,0.028846153846153848
2020-05-18,1755088.8323264518,2020-05-22,交通运输,2020,21,0.7788461538461539
2020-05-25,3613897.1510954164,2020-05-29,交通运输,2020,22,0.9423076923076923
2020-06-01,-359170.41229592764,2020-06-05,交通运输,2020,23,0.40384615384615385
2020-06-08,-3367482.931580639,2020-06-12,交通运输,2020,24,0.04807692307692308
2020-06-15,-309754.3203757125,2020-06-19,交通运输,2020,25,0.4230769230769231
2020-06-22,-1603914.0460364842,2020-06-26,交通运输,2020,26,0.22115384615384615
2020-06-29,491658.7527631859,2020-07-03,交通运输,2020,27,0.6057692307692307
2020-07-06,699039.5746652888,2020-07-10,交通运输,2020,28,0.6634615384615384
2020-07-13,-1354765.087684637,2020-07-17,交通运输,2020,29,0.2692307692307692
2020-07-20,2989103.587973515,2020-07-24,交通运输,2020,30,0.8942307692307693
2020-07-27,-769363.8706243895,2020-07-31,交通运输,2020,31,0.34615384615384615
2020-08-03,-68360.5591597142,2020-08-07,交通运输,2020,32,0.5096153846153846
2020-08-10,-62596.450557783595,2020-08-14,交通运输,2020,33,0.5096153846153846
2020-08-17,-2084101.2741347621,2020-08-21,交通运输,2020,34,0.16346153846153846
2020-08-24,-2238251.545834046,2020-08-28,交通运输,2020,35,0.15384615384615385
2020-08-31,-2441371.91236607,2020-09-04,交通运输,2020,36,0.1346153846153846
2020-09-07,1560263.337977094,2020-09-11,交通运输,2020,37,0.7884615384615384
2020-09-14,3339534.4181942567,2020-09-18,交通运输,2020,38,0.9230769230769231
2020-09-21,187792.6166650015,2020-09-25,交通运输,2020,39,0.5576923076923077
2020-09-28,-1544691.5896450388,2020-10-02,交通运输,2020,40,0.25
2020-10-05,1139049.7695862814,2020-10-09,交通运输,2020,41,0.7307692307692307
2020-10-12,1376992.5486632038,2020-10-16,交通运输,2020,42,0.7403846153846154
2020-10-19,62100.577572385955,2020-10-23,交通运输,2020,43,0.5192307692307693
2020-10-26,4432691.477782221,2020-10-30,交通运输,2020,44,0.9903846153846154
2020-11-02,2548637.9690512405,2020-11-06,交通运输,2020,45,0.875
2020-11-09,5948692.412562429,2020-11-13,交通运输,2020,46,1.0
2020-11-16,709876.9128659348,2020-11-20,交通运输,2020,47,0.6538461538461539
2020-11-23,-109893.7022655487,2020-11-27,交通运输,2020,48,0.4423076923076923
2020-11-30,3092478.290718988,2020-12-04,交通运输,2020,49,0.8942307692307693
2020-12-07,3341914.690925956,2020-12-11,交通运输,2020,50,0.9038461538461539
2020-12-14,-5174964.358629599,2020-12-18,交通运输,2020,51,0.019230769230769232
2020-12-21,-82441.24606077478,2020-12-25,交通运输,2020,52,0.4423076923076923
2020-12-28,1756768.8911121706,2021-01-01,交通运输,2020,53,0.7692307692307693
2021-01-04,770829.3444190625,2021-01-08,交通运输,2021,1,0.6730769230769231
2021-01-11,1906082.1588537118,2021-01-15,交通运输,2021,2,0.7788461538461539
2021-01-18,-214261.37059808202,2021-01-22,交通运输,2021,3,0.41346153846153844
2021-01-25,-1122162.7452893425,2021-01-29,交通运输,2021,4,0.2980769230769231
2021-02-01,-1920074.6099503557,2021-02-05,交通运输,2021,5,0.17307692307692307
2021-02-08,-47113.72713168134,2021-02-12,交通运输,2021,6,0.5
2021-02-15,-1122333.341440343,2021-02-19,交通运输,2021,7,0.2980769230769231
2021-02-22,1460013.7525034319,2021-02-26,交通运输,2021,8,0.75
2021-03-01,964782.2081653783,2021-03-05,交通运输,2021,9,0.7019230769230769
2021-03-08,1933632.0490935193,2021-03-12,交通运输,2021,10,0.8173076923076923
2021-03-15,1231732.724522347,2021-03-19,交通运输,2021,11,0.7211538461538461
2021-03-22,-70640.1479088813,2021-03-26,交通运输,2021,12,0.46153846153846156
2021-03-29,-834013.9829784497,2021-04-02,交通运输,2021,13,0.3173076923076923
2021-04-05,1809873.7873196062,2021-04-09,交通运输,2021,14,0.8173076923076923
2021-04-12,1888494.2990649503,2021-04-16,交通运输,2021,15,0.8173076923076923
2021-04-19,912983.8259092565,2021-04-23,交通运输,2021,16,0.6826923076923077
2021-04-26,-38098.7640805447,2021-04-30,交通运输,2021,17,0.5192307692307693
2021-05-03,-1122116.278915313,2021-05-07,交通运输,2021,18,0.3076923076923077
2021-05-10,307025.1496219572,2021-05-14,交通运输,2021,19,0.5576923076923077
2021-05-17,-214338.75362500548,2021-05-21,交通运输,2021,20,0.40384615384615385
2021-05-24,-3060925.92356313,2021-05-28,交通运输,2021,21,0.0673076923076923
2021-05-31,588826.1092173553,2021-06-04,交通运输,2021,22,0.6057692307692307
2021-06-07,2860894.557514486,2021-06-11,交通运输,2021,23,0.9038461538461539
2021-06-14,1157695.916157004,2021-06-18,交通运输,2021,24,0.7211538461538461
2021-06-21,-273058.69256344484,2021-06-25,交通运输,2021,25,0.38461538461538464
2021-06-28,-1534718.9616605272,2021-07-02,交通运输,2021,26,0.20192307692307693
2021-07-05,1369029.303200303,2021-07-09,交通运输,2021,27,0.7403846153846154
2021-07-12,1685116.785676781,2021-07-16,交通运输,2021,28,0.7884615384615384
2021-07-19,-76447.01638271939,2021-07-23,交通运输,2021,29,0.4230769230769231
2021-07-26,-228115.5150172821,2021-07-30,交通运输,2021,30,0.375
2021-08-02,1467008.9094081756,2021-08-06,交通运输,2021,31,0.7788461538461539
2021-08-09,-2423766.1720719584,2021-08-13,交通运输,2021,32,0.10576923076923077
2021-08-16,-750420.827481766,2021-08-20,交通运输,2021,33,0.2980769230769231
2021-08-23,-435627.8972730967,2021-08-27,交通运输,2021,34,0.33653846153846156
2021-08-30,-1695535.744192957,2021-09-03,交通运输,2021,35,0.16346153846153846
2021-09-06,4386382.453075914,2021-09-10,交通运输,2021,36,0.9807692307692307
2021-09-13,193422.73432320257,2021-09-17,交通运输,2021,37,0.5384615384615384
2021-09-20,-2224306.699608081,2021-09-24,交通运输,2021,38,0.1346153846153846
2021-09-27,242191.44268619048,2021-10-01,交通运输,2021,39,0.5576923076923077
2021-10-04,-394696.55673495936,2021-10-08,交通运输,2021,40,0.33653846153846156
2021-10-11,-1835544.3936704611,2021-10-15,交通运输,2021,41,0.16346153846153846
2021-10-18,-2733268.8922250536,2021-10-22,交通运输,2021,42,0.08653846153846154
2021-10-25,-209588.15478204435,2021-10-29,交通运输,2021,43,0.4230769230769231
2021-11-01,792203.7250402711,2021-11-05,交通运输,2021,44,0.6730769230769231
2021-11-08,-2076081.6172505862,2021-11-12,交通运输,2021,45,0.15384615384615385
2021-11-15,4241351.088878552,2021-11-19,交通运输,2021,46,0.9711538461538461
2021-11-22,2065905.045783392,2021-11-26,交通运输,2021,47,0.8557692307692307
2021-11-29,-1122959.1322301435,2021-12-03,交通运输,2021,48,0.25961538461538464
2021-12-06,783136.1625276974,2021-12-10,交通运输,2021,49,0.6538461538461539
2021-12-13,-2310606.43374401,2021-12-17,交通运输,2021,50,0.11538461538461539
2021-12-20,-863958.7307224202,2021-12-24,交通运输,2021,51,0.3076923076923077
2021-12-27,-1090389.6962256245,2021-12-31,交通运输,2021,52,0.2980769230769231
2022-01-03,-2113832.817209806,2022-01-07,交通运输,2022,1,0.1346153846153846
2022-01-10,-4105876.3738897373,2022-01-14,交通运输,2022,2,0.028846153846153848
2022-01-17,-3046702.879671068,2022-01-21,交通运输,2022,3,0.0673076923076923
2022-01-24,1595697.2808873784,2022-01-28,交通运输,2022,4,0.7884615384615384
2022-01-31,2440628.578554038,2022-02-04,交通运输,2022,5,0.875
2022-02-07,-1150239.4137561298,2022-02-11,交通运输,2022,6,0.2692307692307692
2022-02-14,3749986.3743996467,2022-02-18,交通运输,2022,7,0.9519230769230769
2022-02-21,-3041937.7615578403,2022-02-25,交通运输,2022,8,0.057692307692307696
2022-02-28,2113814.475509292,2022-03-04,交通运输,2022,9,0.8461538461538461
2022-03-07,-1046172.1480519713,2022-03-11,交通运输,2022,10,0.2980769230769231
2022-03-14,-845451.5996103429,2022-03-18,交通运输,2022,11,0.3269230769230769
2022-03-21,-2348999.671273457,2022-03-25,交通运输,2022,12,0.09615384615384616
2022-03-28,-282444.0364645041,2022-04-01,交通运输,2022,13,0.41346153846153844
2022-04-04,-177808.17002072383,2022-04-08,交通运输,2022,14,0.46153846153846156
2022-04-11,-15961.793514997466,2022-04-15,交通运输,2022,15,0.5384615384615384
2022-04-18,-4648048.3921607295,2022-04-22,交通运输,2022,16,0.009615384615384616
2022-04-25,3171643.3780094115,2022-04-29,交通运输,2022,17,0.9134615384615384
2022-05-02,-2764869.5002647135,2022-05-06,交通运输,2022,18,0.07692307692307693
2022-05-09,-1856383.9913140642,2022-05-13,交通运输,2022,19,0.19230769230769232
2022-05-16,564543.4945158316,2022-05-20,交通运输,2022,20,0.6153846153846154
2022-05-23,1382983.8204481537,2022-05-27,交通运输,2022,21,0.75
2022-05-30,-1480856.0197227017,2022-06-03,交通运输,2022,22,0.2403846153846154
2022-06-06,1973237.3955979121,2022-06-10,交通运输,2022,23,0.8557692307692307
2022-06-13,405016.54220565065,2022-06-17,交通运输,2022,24,0.5961538461538461
2022-06-20,3923188.9469919074,2022-06-24,交通运输,2022,25,0.9615384615384616
2022-06-27,-2074580.1522523211,2022-07-01,交通运输,2022,26,0.16346153846153846
2022-07-04,-753017.8239707755,2022-07-08,交通运输,2022,27,0.3557692307692308
2022-07-11,-279520.9208715374,2022-07-15,交通运输,2022,28,0.40384615384615385
2022-07-18,-2800253.1593065253,2022-07-22,交通运输,2022,29,0.057692307692307696
2022-07-25,-556061.3409777008,2022-07-29,交通运输,2022,30,0.375
2022-08-01,-1988.8469290188514,2022-08-05,交通运输,2022,31,0.5576923076923077
2022-08-08,1093367.6814023606,2022-08-12,交通运输,2022,32,0.6923076923076923
2022-08-15,-1906328.2453700341,2022-08-19,交通运输,2022,33,0.19230769230769232
2022-08-22,2612950.0296545285,2022-08-26,交通运输,2022,34,0.8942307692307693
2022-08-29,-3488746.9153766553,2022-09-02,交通运输,2022,35,0.028846153846153848
2022-09-05,428079.647318886,2022-09-09,交通运输,2022,36,0.5961538461538461
2022-09-12,-3859084.4232652616,2022-09-16,交通运输,2022,37,0.028846153846153848
2022-09-19,5932256.27272616,2022-09-23,交通运输,2022,38,0.9903846153846154
2022-09-26,-5661610.835778857,2022-09-30,交通运输,2022,39,0.0
2022-10-03,-4060583.092640801,2022-10-07,交通运输,2022,40,0.038461538461538464
2022-10-10,3695967.9737573666,2022-10-14,交通运输,2022,41,0.9326923076923077
2022-10-17,-1250929.6961225579,2022-10-21,交通运输,2022,42,0.25961538461538464
2022-10-24,750220.1305303524,2022-10-28,交通运输,2022,43,0.6442307692307693
2022-10-31,1746675.9333035098,2022-11-04,交通运输,2022,44,0.7884615384615384
2022-11-07,1124898.4581278726,2022-11-11,交通运输,2022,45,0.7115384615384616
2022-11-14,1322377.2469159202,2022-11-18,交通运输,2022,46,0.7403846153846154
2022-11-21,672374.2031253045,2022-11-25,交通运输,2022,47,0.6346153846153846
2022-11-28,-3970797.536834448,2022-12-02,交通运输,2022,48,0.04807692307692308
2022-12-05,214874.89992668602,2022-12-09,交通运输,2022,49,0.5769230769230769
2022-12-12,1466438.361782848,2022-12-16,交通运输,2022,50,0.7884615384615384
2022-12-19,902108.8396591842,2022-12-23,交通运输,2022,51,0.6826923076923077
2022-12-26,2974224.9455692926,2022-12-30,交通运输,2022,52,0.9326923076923077
2023-01-02,1106184.391086888,2023-01-06,交通运输,2023,1,0.7115384615384616
2023-01-09,578064.6839231154,2023-01-13,交通运输,2023,2,0.6153846153846154
2023-01-16,228878.00842184015,2023-01-20,交通运输,2023,3,0.5673076923076923
2023-01-23,1019450.2806938505,2023-01-27,交通运输,2023,4,0.7019230769230769
2023-01-30,-1758667.1806774032,2023-02-03,交通运输,2023,5,0.23076923076923078
2023-02-06,-2300681.9903471246,2023-02-10,交通运输,2023,6,0.15384615384615385
2023-02-13,1739085.6145261782,2023-02-17,交通运输,2023,7,0.8269230769230769
2023-02-20,-2465098.0676780352,2023-02-24,交通运输,2023,8,0.125
2023-02-27,-130122.10971194878,2023-03-03,交通运输,2023,9,0.4807692307692308
2023-03-06,3398754.1740460466,2023-03-10,交通运输,2023,10,0.9423076923076923
2023-03-13,-1927726.230835732,2023-03-17,交通运输,2023,11,0.21153846153846154
2023-03-20,542058.9131353535,2023-03-24,交通运输,2023,12,0.6153846153846154
2023-03-27,-1180451.1712775147,2023-03-31,交通运输,2023,13,0.2980769230769231
2023-04-03,-1043048.3172474476,2023-04-07,交通运输,2023,14,0.3557692307692308
2023-04-10,1847977.6123778094,2023-04-14,交通运输,2023,15,0.8461538461538461
2023-04-17,-361089.00576247356,2023-04-21,交通运输,2023,16,0.4326923076923077
2023-04-24,-262199.0595669093,2023-04-28,交通运输,2023,17,0.47115384615384615
2023-05-01,722344.7574223066,2023-05-05,交通运输,2023,18,0.6730769230769231
2023-05-08,305291.3340630095,2023-05-12,交通运输,2023,19,0.5865384615384616
2023-05-15,-1744740.7778296736,2023-05-19,交通运输,2023,20,0.25961538461538464
2023-05-22,72244.82242342306,2023-05-26,交通运输,2023,21,0.5480769230769231
2023-05-29,-3550811.5185617274,2023-06-02,交通运输,2023,22,0.057692307692307696
2023-06-05,-4301335.173537848,2023-06-09,交通运输,2023,23,0.019230769230769232
2023-06-12,-1286860.6108772908,2023-06-16,交通运输,2023,24,0.3076923076923077
2023-06-19,-3088134.6737507964,2023-06-23,交通运输,2023,25,0.08653846153846154
2023-06-26,857168.831187409,2023-06-30,交通运输,2023,26,0.7211538461538461
2023-07-03,-3093036.792322896,2023-07-07,交通运输,2023,27,0.08653846153846154
2023-07-10,-3285073.663692937,2023-07-14,交通运输,2023,28,0.08653846153846154
2023-07-17,4406308.109338023,2023-07-21,交通运输,2023,29,0.9903846153846154
2023-07-24,2715509.3511366905,2023-07-28,交通运输,2023,30,0.9038461538461539
2023-07-31,3485673.5560436654,2023-08-04,交通运输,2023,31,0.9326923076923077
2023-08-07,-3221079.4925931627,2023-08-11,交通运输,2023,32,0.09615384615384616
2023-08-14,-873186.5847580167,2023-08-18,交通运输,2023,33,0.40384615384615385
2023-08-21,-447346.6525967279,2023-08-25,交通运输,2023,34,0.4519230769230769
2023-08-28,649746.8611437669,2023-09-01,交通运输,2023,35,0.6634615384615384
2023-09-04,-985091.8689974943,2023-09-08,交通运输,2023,36,0.3942307692307692
2023-09-11,-2037908.35275293,2023-09-15,交通运输,2023,37,0.25
2023-09-18,2245413.672170341,2023-09-22,交通运输,2023,38,0.875
2023-09-25,3891638.1577293705,2023-09-29,交通运输,2023,39,0.9615384615384616
2023-10-02,-925259.0860242343,2023-10-06,交通运输,2023,40,0.40384615384615385
2023-10-09,-237842.49280658562,2023-10-13,交通运输,2023,41,0.5096153846153846
2023-10-16,-198915.05007107503,2023-10-20,交通运输,2023,42,0.5192307692307693
2023-10-23,1264241.8623948314,2023-10-27,交通运输,2023,43,0.7596153846153846
2023-10-30,3743496.2097608075,2023-11-03,交通运输,2023,44,0.9423076923076923
2023-11-06,1031771.4153561026,2023-11-10,交通运输,2023,45,0.7115384615384616
2023-11-13,-2410242.0664753816,2023-11-17,交通运输,2023,46,0.17307692307692307
2023-11-20,796962.3760446006,2023-11-24,交通运输,2023,47,0.6826923076923077
2023-11-27,296131.97104078357,2023-12-01,交通运输,2023,48,0.5769230769230769
2023-12-04,886227.7862354747,2023-12-08,交通运输,2023,49,0.7019230769230769
2023-12-11,-1140854.1639551702,2023-12-15,交通运输,2023,50,0.33653846153846156
2023-12-18,-642093.6969213135,2023-12-22,交通运输,2023,51,0.4230769230769231
2023-12-25,4190203.16519266,2023-12-29,交通运输,2023,52,0.9807692307692307
2024-01-01,-287436.65451963234,2024-01-05,交通运输,2024,1,0.4423076923076923
2024-01-08,3767027.703450208,2024-01-12,交通运输,2024,2,0.9519230769230769
2024-01-15,509759.3806816243,2024-01-19,交通运输,2024,3,0.5865384615384616
2024-01-22,5422359.718780472,2024-01-26,交通运输,2024,4,0.9903846153846154
2024-01-29,-1366223.7971654243,2024-02-02,交通运输,2024,5,0.25961538461538464
2024-02-05,856006.8344198975,2024-02-09,交通运输,2024,6,0.6730769230769231
2024-02-12,4208425.693874533,2024-02-16,交通运输,2024,7,0.9711538461538461
2024-02-19,541201.7337386729,2024-02-23,交通运输,2024,8,0.5865384615384616
2024-02-26,3581685.5675545814,2024-03-01,交通运输,2024,9,0.9038461538461539
2024-03-04,2394880.307823388,2024-03-08,交通运输,2024,10,0.8365384615384616
2024-03-11,68238.10484019539,2024-03-15,交通运输,2024,11,0.49038461538461536
2024-03-18,2856958.2768738098,2024-03-22,交通运输,2024,12,0.8557692307692307
2024-03-25,4310260.718984352,2024-03-29,交通运输,2024,13,0.9711538461538461
2024-04-01,852903.3397890434,2024-04-05,交通运输,2024,14,0.6346153846153846
2024-04-08,729499.6650449069,2024-04-12,交通运输,2024,15,0.6057692307692307
2024-04-15,-874860.7973487924,2024-04-19,交通运输,2024,16,0.3173076923076923
2024-04-22,1937420.5894973841,2024-04-26,交通运输,2024,17,0.7884615384615384
2024-04-29,1401981.2052158015,2024-05-03,交通运输,2024,18,0.75
2024-05-06,-6487599.7225711,2024-05-10,交通运输,2024,19,0.0
2024-05-13,1910560.6107177567,2024-05-17,交通运输,2024,20,0.7884615384615384
2024-05-20,-1499139.156883095,2024-05-24,交通运输,2024,21,0.21153846153846154
2024-05-27,2952164.0626012776,2024-05-31,交通运输,2024,22,0.8557692307692307
2024-06-03,1604706.2764855013,2024-06-07,交通运输,2024,23,0.7403846153846154
2024-06-10,-5200405.452697639,2024-06-14,交通运输,2024,24,0.019230769230769232
